#	word	セット	意味		
93	soska	tokipona	"awen, 待つ, 空間的にある一点に存在し続けること"		
94	fosta	tokipona	"kute, to hear, 聞く, きく, 活動体が音声を取り入れること"		
95	pinke	tokipona	"musi, to play, 遊ぶ, あそぶ, 楽しむ, 活動体が良いと評価する活動を実施すること"		
96	timpe	tokipona	"unpa, sex, 性交する"		
97	tonka	tokipona	"utala, to fight, 戦う, たたかう"		
98	telki	tokipona	"lape, to sleep, 寝る, ねる, 活動体が一時的に活動を停止すること"		
99	ponta	tokipona	"laso, 青い, 色の一種"		
100	pelti	tokipona	"walo, white, 白, しろ, 色の一種"		
101	gunti	tokipona	"wawa, 力"		
102	koltu	tokipona	"anpa, below, 下, 方向。重力に従う方向"		
103	kelpi	tokipona	"loje, red, 赤, あか, 色の一種"		
104	kerta	tokipona	"waso, bird, 鳥, とり, 動物の一種"		
105	tolpu	tokipona	"weka, 奪う, ある空間からものを移動させ、その空間にものがない状態にすること"		
106	dilku	tokipona	"jaki, dirty, 汚い, きたない"		
107	turko	tokipona	"len, 布"		
108	kompa	tokipona	"uta, mouth, 口, くち"		
109	xenta	tokipona	"jelo, yellow, 黄色, きいろ, 色の一種"		
110	terpa	tokipona	"noka, foot, 足, あし（靴を履いたら隠れる部分）, 活動体の身体の一部で、移動する機能を有するもの"		
111	purto	tokipona	"poki, 包, 箱"		
112	polku	tokipona	"mani, お金"		
113	biltu	tokipona	"nena, mountain, 山, やま"		
114	dumpi	tokipona	"selo, 表面, 皮"		
115	bunki	tokipona	"monsi, 後ろ, 方向。進行方向と逆方向"		
116	gilpu	tokipona	"kala, fish, 魚, さかな, 動物の一種"		
117	girte	tokipona	"pipi, worm, 虫, むし, 動物の一種"		
118	perka	tokipona	"lete, cold, 寒い, さむい, 涼しい, すずしい"		
119	kurpo	tokipona	"ko, 粉, こな"		
120	xulti	tokipona	"mun, moon, 月, つき"		
121	dirpe	tokipona	"supa, 水平"		
122	nisku	tokipona	"akesi, 爬虫類, 動物の一種"		
123	mistu	tokipona	"suwi, 甘い"		
124	danke	tokipona	"alasa, to hunt, 狩る, かる"		
125	xumpo	tokipona	"esun, 市場"		
126	birke	tokipona	"pan, 穀物, 食べ物の一種"		
127	sunko	NSL	"KINDS, 種類"		
128	funto	NSL	"PARTS, 部分"		
129	dorka	NSL	"WORDS, 言葉"		
130	bante	NSL	"TRUE, 本当"		
131	galto	NSL	"HAPPEN, 起こる, 起きる"		
132	fenka	NSL	"MOVE, 動く"		
133	xirpu	NSL	"MOMENT, すぐに, 一瞬"		
134	borta	NSL	"TOUCH, 触る"		
135	lispe	NSL	"MAYBE, 多分"		
136	gorpa	NSL	"VERY, すごく"		
137	dalpo	NSL	"MORE, もっと, もう"		
138	sempa	NSL	"LIKE, AS, よう, ように"		
139	gampe	swadesh	"long, 長い, ながい"		
140	sirku	swadesh	"small, 小さい, ちいさい"		
141	firtu	swadesh	"dog, 犬, いぬ"		
142	sulpi	swadesh	"louse, 虱, しらみ"		
143	loska	swadesh	"tree, 木, き"		
144	fulki	swadesh	"seed, 種, たね"		
145	balko	swadesh	"leaf, 葉, は"		
146	rusko	swadesh	"root, 根, ね"		
147	xalpe	swadesh	"bark, 木皮, こはだ"		
148	xarto	swadesh	"skin, 皮, かわ"		
149	respa	swadesh	"meat, 肉, しし"		
150	naspo	swadesh	"blood, 血, ち"		
151	masko	swadesh	"bone, 骨, ほね"		
152	salke	swadesh	"fat, 脂, あぶら"		
153	falte	swadesh	"egg, 卵, たまご"		
154	sarpo	swadesh	"horn, 角, つの"		
155	nenki	swadesh	"tail, 尻尾, しっぽ"		
156	farko	swadesh	"feather, 羽, はね"		
157	menti	swadesh	"hair, 髪, かみ"		
158	lunko	swadesh	"ear, 耳, みみ"		
159	nulko	swadesh	"eye, 目, め"		
160	multo	swadesh	"nose, 鼻, はな"		
161	monku	swadesh	"tooth, 歯, は"		
162	rinku	swadesh	"tongue, 舌, した"		
163	nelpa	swadesh	"fingernail, 爪, つめ"		
164	melka	swadesh	"knee, 膝, ひざ"		
165	nompu	swadesh	"belly, 腹, はら"		
166	lempa	swadesh	"neck, 首, くび"		
167	lirku	swadesh	"breast, 胸, むね"		
168	lulpi	swadesh	"heart, 心, こころ"		
169	nurpi	swadesh	"liver, 肝, きも"		
170	murki	swadesh	"to drink, 飲む, のむ"		
171	lalke	swadesh	"to bite, 噛む, かむ"		
172	narke	swadesh	"to swim, 泳ぐ, およぐ"		
173	marte	swadesh	"to fly, 飛ぶ, とぶ"		
174	rampo	swadesh	"to walk, 歩く, あるく"		
175	larpo	swadesh	"to lie (as in a bed), 寝る / 横たわる, ねる / よこたわる"		
176	klispu	swadesh	"to sit, 座る, すわる"		
177	plistu	swadesh	"to stand, 立つ, たつ"		
178	treski	swadesh	"star, 星, ほし"		
179	trustu	swadesh	"rain, 雨, あめ"		
180	klosko	swadesh	"sand, 砂, すな"		
181	krespi	swadesh	"earth, 土, つち"		
182	plospo	swadesh	"cloud, 雲, くも"		
183	trospu	swadesh	"smoke, 煙, けむり"		
184	krusku	swadesh	"fire, 火, ひ"		
185	presti	swadesh	"ash, 灰, はい"		
186	glesta	swadesh	"to burn, 燃える, もえる"		
187	pruspu	swadesh	"green, 緑, みどり"		
188	drisku	swadesh	"night, 夜, よる"		
189	gluspo	swadesh	"full, 満ちた, みちた"		
190	krostu	swadesh	"dry, 乾いた, かわいた"		
191	grispu	swadesh	"other, 他, ほか"		
192	prosku	swadesh	"wide, 広い, ひろい"		
193	klasto	swadesh	"thick, 厚い, あつい"		
194	bleska	swadesh	"heavy, 重い, おもい"		
195	blusto	swadesh	"short, 短い, みじかい"		
196	plasko	swadesh	"narrow, 狭い, せまい"		
197	bristu	swadesh	"thin, 細い, ほそい"		
198	drosto	swadesh	"light, 軽い(オリジナル)"		
199	grosko	swadesh	"child, 子, こ"		
200	glaska	swadesh	"wife, 妻, つま"		
201	brospo	swadesh	"husband, 夫, おっと"		
202	flesti	swadesh	"mother, 母, はは"		
